+------+------------------------------+-----------------------+------------+-----------+--------+--------+---------+
|  id  |             name             |         class         |    mass    | discovery |  year  |  lat   |  long   |
+------+------------------------------+-----------------------+------------+-----------+--------+--------+---------+
| 1    | Apache Junction              | Iron, IIIAB           | 25000.0    | Found     | NULL   | 33.45  | -111.52 |
| 2    | Asarco Mexicana              | Iron, IIIAB           | NULL       | Found     | NULL   | NULL   | NULL    |
| 3    | Aus                          | L                     | 30.2       | Found     | NULL   | -26.67 | 16.25   |
| 4    | Benares (b)                  | Iron                  | NULL       | Found     | NULL   | 25.33  | 83.0    |
| 5    | Cacilandia                   | H6                    | NULL       | Found     | NULL   | NULL   | NULL    |
| 6    | California                   | Iron, IAB-sLL         | NULL       | Found     | NULL   | NULL   | NULL    |
| 7    | Camp Wood                    | Iron, IIIAB           | 148000.0   | Found     | NULL   | 29.77  | -99.88  |
| 8    | Cochabamba                   | CM2                   | 85.0       | Found     | NULL   | NULL   | NULL    |
| 9    | Cook                         | Unknown               | NULL       | Found     | NULL   | NULL   | NULL    |
| 10   | Czestochowa Rakow I          | Iron                  | NULL       | Found     | NULL   | 50.8   | 19.12   |
| 11   | Czestochowa Rakow II         | Iron                  | NULL       | Found     | NULL   | 50.8   | 19.12   |
| 12   | Dhofar 1073                  | CV3                   | 2.72       | Found     | NULL   | 19.33  | 54.78   |
| 13   | Dhofar 1738                  | L5                    | 853.0      | Found     | NULL   | 19.33  | 54.91   |
| 14   | Dhofar 1739                  | H4                    | 130.0      | Found     | NULL   | 19.18  | 54.89   |
| 15   | Dhofar 1740                  | L6                    | 30.8       | Found     | NULL   | 19.16  | 54.88   |
| 16   | Dhofar 1741                  | H5                    | 66.0       | Found     | NULL   | 19.11  | 54.82   |
| 17   | Dhofar 1742                  | H5                    | 4.4        | Found     | NULL   | 19.11  | 54.83   |
| 18   | Dhofar 1743                  | L4                    | 84.0       | Found     | NULL   | 19.06  | 54.88   |
| 19   | Dhofar 1744                  | H5                    | 1414.0     | Found     | NULL   | 19.15  | 54.59   |
| 20   | Dhofar 1745                  | H5                    | 12.1       | Found     | NULL   | 19.08  | 54.51   |
| 21   | Dhofar 1746                  | H5                    | 19.2       | Found     | NULL   | 19.06  | 54.51   |
| 22   | Dhofar 1747                  | H5                    | 81.0       | Found     | NULL   | 19.06  | 54.51   |
| 23   | Dhofar 1748                  | H5                    | 34.4       | Found     | NULL   | 19.08  | 54.58   |
| 24   | Dhofar 1749                  | H5                    | 35.3       | Found     | NULL   | 19.16  | 54.76   |
| 25   | Dhofar 1750                  | H5                    | 123.0      | Found     | NULL   | 19.19  | 54.61   |
| 26   | Dhofar 1751                  | H5                    | 20.9       | Found     | NULL   | 19.2   | 54.59   |
| 27   | Dhofar 1752                  | H5                    | 88.0       | Found     | NULL   | 19.24  | 54.75   |
| 28   | Dhofar 910                   | Lunar (anorth)        | 142.0      | Found     | NULL   | 19.33  | 54.78   |
| 29   | Dhofar 911                   | Lunar (anorth)        | 194.0      | Found     | NULL   | 19.33  | 54.78   |
| 30   | Duan                         | Iron                  | NULL       | Found     | NULL   | 23.9   | 108.1   |
| 31   | El Chiflón                   | Iron?                 | NULL       | Found     | NULL   | -29.43 | -66.83  |
| 32   | Elizabeth                    | Iron, IAB-ung         | 732.0      | Found     | NULL   | 42.32  | -90.22  |
| 33   | Espiritu Santo               | Iron, IIIAB           | 89.0       | Found     | NULL   | 20.0   | -102.18 |
| 34   | Fengzhen                     | Iron, IIIAB           | 458.0      | Found     | NULL   | 40.5   | 113.0   |
| 35   | Fujian                       | Iron                  | NULL       | Found     | NULL   | 26.0   | 119.0   |
| 36   | Fuzzy Creek                  | Iron, IVA             | 2700.0     | Found     | NULL   | 31.61  | -99.9   |
| 37   | Guixi                        | Iron, IIIAB           | 220000.0   | Found     | NULL   | 28.28  | 117.18  |
| 38   | Guizhou                      | Iron                  | NULL       | Found     | NULL   | 25.4   | 107.5   |
| 39   | Hammadah al Hamra 260        | L6                    | 530.0      | Found     | NULL   | 28.61  | 12.95   |
| 40   | Havana                       | Iron, IAB complex     | NULL       | Found     | NULL   | 40.33  | -90.05  |
| 41   | Huangling                    | Iron, IVA             | NULL       | Found     | NULL   | 29.5   | 110.0   |
| 42   | Hughes 002                   | L6                    | 1074.0     | Found     | NULL   | -30.57 | 129.63  |
| 43   | Hughes 003                   | H5                    | 3200.0     | Found     | NULL   | -30.23 | 129.4   |
| 44   | Idaho                        | Iron, IAB-MG          | NULL       | Found     | NULL   | NULL   | NULL    |
| 45   | Itapuranga                   | Iron, IAB-MG          | 628000.0   | Found     | NULL   | -15.58 | -50.15  |
| 46   | Jiddat Arkad 003             | L5                    | 148.0      | Found     | NULL   | 18.97  | 56.43   |
| 47   | Jiddat al Harasis 719        | L6                    | 2144.0     | Found     | NULL   | 19.66  | 55.73   |
| 48   | Jiddat al Harasis 720        | H4                    | 172.0      | Found     | NULL   | 19.69  | 55.68   |
| 49   | Jiddat al Harasis 721        | H5                    | 859.0      | Found     | NULL   | 19.69  | 55.68   |
| 50   | Jiddat al Harasis 722        | H5                    | 291.0      | Found     | NULL   | 19.67  | 55.64   |
| 51   | Jiddat al Harasis 723        | H4                    | 1876.0     | Found     | NULL   | 19.64  | 55.58   |
| 52   | Jiddat al Harasis 724        | L6                    | 14.2       | Found     | NULL   | 19.64  | 55.6    |
| 53   | Jiddat al Harasis 725        | L5                    | 49.0       | Found     | NULL   | 19.75  | 55.76   |
| 54   | Jiddat al Harasis 726        | L6                    | 507.0      | Found     | NULL   | 19.7   | 55.25   |
| 55   | Jiddat al Harasis 727        | L6                    | 301.0      | Found     | NULL   | 19.7   | 55.76   |
| 56   | Jiddat al Harasis 728        | H4                    | 69.0       | Found     | NULL   | 19.68  | 55.7    |
| 57   | Jiddat al Harasis 729        | L5                    | 951.0      | Found     | NULL   | 19.66  | 55.56   |
| 58   | Jiddat al Harasis 730        | L4                    | 1040.0     | Found     | NULL   | 19.64  | 55.58   |
| 59   | Jiddat al Harasis 731        | H4                    | 72.3       | Found     | NULL   | 19.57  | 55.57   |
| 60   | Jiddat al Harasis 732        | L5                    | 154.0      | Found     | NULL   | 19.7   | 56.23   |
| 61   | Jiddat al Harasis 733        | H6                    | 1296.0     | Found     | NULL   | 19.56  | 56.21   |
| 62   | Jiddat al Harasis 734        | L4                    | 371.0      | Found     | NULL   | 19.18  | 56.43   |
| 63   | Jiddat al Harasis 735        | H6                    | 33.4       | Found     | NULL   | 19.51  | 56.3    |
| 64   | Jiddat al Harasis 736        | L4                    | 24.7       | Found     | NULL   | 19.83  | 56.48   |
| 65   | Jiddat al Harasis 737        | L5                    | 1137.0     | Found     | NULL   | 19.77  | 56.4    |
| 66   | Jiddat al Harasis 738        | H5                    | 469.0      | Found     | NULL   | 19.77  | 56.4    |
| 67   | Jiddat al Harasis 739        | L4                    | 587.0      | Found     | NULL   | 19.83  | 56.44   |
| 68   | Jiddat al Harasis 740        | L4                    | 354.0      | Found     | NULL   | 19.79  | 56.48   |
| 69   | Jiddat al Harasis 741        | L4                    | 31.6       | Found     | NULL   | 19.81  | 56.49   |
| 70   | Jiddat al Harasis 742        | L4                    | 1144.0     | Found     | NULL   | 19.83  | 56.47   |
| 71   | Jiddat al Harasis 743        | L4                    | 105.0      | Found     | NULL   | 19.83  | 56.48   |
| 72   | Jiddat al Harasis 744        | L4                    | 17.3       | Found     | NULL   | 19.85  | 56.45   |
| 73   | Jiddat al Harasis 745        | L4                    | 30.5       | Found     | NULL   | 19.85  | 56.47   |
| 74   | Jiddat al Harasis 746        | L4                    | 22.9       | Found     | NULL   | 19.85  | 56.47   |
| 75   | Jiddat al Harasis 747        | L5                    | 37.9       | Found     | NULL   | 19.85  | 56.44   |
| 76   | Jiddat al Harasis 748        | L5                    | 18.8       | Found     | NULL   | 19.85  | 56.44   |
| 77   | Jiddat al Harasis 749        | L5                    | 33.0       | Found     | NULL   | 19.85  | 56.44   |
| 78   | Jiddat al Harasis 750        | L5                    | 269.0      | Found     | NULL   | 19.82  | 56.47   |
| 79   | Jiddat al Harasis 751        | L5                    | 378.0      | Found     | NULL   | 19.83  | 56.45   |
| 80   | Jiddat al Harasis 752        | L5                    | 174.0      | Found     | NULL   | 19.82  | 56.44   |
| 81   | Jiddat al Harasis 753        | L5                    | 34.2       | Found     | NULL   | 19.85  | 56.46   |
| 82   | Jiddat al Harasis 754        | L5                    | 51.0       | Found     | NULL   | 19.85  | 56.46   |
| 83   | Jiddat al Harasis 755        | L5                    | 17.5       | Found     | NULL   | 19.84  | 56.46   |
| 84   | Jiddat al Harasis 756        | L5                    | 74.0       | Found     | NULL   | 19.86  | 56.45   |
| 85   | Jiddat al Harasis 757        | LL5                   | 178.0      | Found     | NULL   | 19.72  | 55.71   |
| 86   | Jiddat al Harasis 758        | L6                    | 271.0      | Found     | NULL   | 19.77  | 55.69   |
| 87   | Jiddat al Harasis 759        | L5                    | 347.0      | Found     | NULL   | 19.72  | 55.72   |
| 88   | Jiddat al Harasis 760        | H5                    | 49.0       | Found     | NULL   | 19.68  | 55.59   |
| 89   | Jiddat al Harasis 761        | H5                    | 1251.0     | Found     | NULL   | 19.95  | 56.39   |
| 90   | Jiddat al Harasis 762        | L5                    | 46.0       | Found     | NULL   | 19.85  | 56.44   |
| 91   | Jiddat al Harasis 763        | L5                    | 62.0       | Found     | NULL   | 19.84  | 56.44   |
| 92   | Jiddat al Harasis 764        | L5                    | 1236.0     | Found     | NULL   | 19.81  | 56.48   |
| 93   | Jiddat al Harasis 765        | H4                    | 45.0       | Found     | NULL   | 19.8   | 56.47   |
| 94   | Jiddat al Harasis 766        | L4                    | 73.0       | Found     | NULL   | 19.81  | 56.49   |
